test_id,file,function,line,async,assertions,status_code_assertions,http_methods,endpoint_literals,parametrized,decorators,execution_status,execution_cases,passed_cases,execution_evidence,evidence
modules/erp/tests/test_cancel_billing_integration.py::test_cancel_billing_success,modules/erp/tests/test_cancel_billing_integration.py,test_cancel_billing_success,20,False,7,2,POST,/cancel;/erp/billing;/erp/billing/,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/erp/tests/test_cancel_billing_integration.py:20
modules/erp/tests/test_contract.py::test_required_contract_documents_exist,modules/erp/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/erp/tests/test_contract.py:4
modules/erp/tests/test_create_flow.py::test_create_and_approve_flow,modules/erp/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/erp/tests/test_create_flow.py:6
modules/erp/tests/test_health.py::test_health,modules/erp/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/erp/tests/test_health.py:4
modules/erp/tests/test_permissions.py::test_create_auth_boundary,modules/erp/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/erp/tests/test_permissions.py:6
modules/finance/tests/test_contract.py::test_required_contract_documents_exist,modules/finance/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/finance/tests/test_contract.py:4
modules/finance/tests/test_create_flow.py::test_create_and_approve_flow,modules/finance/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/finance/tests/test_create_flow.py:6
modules/finance/tests/test_health.py::test_health,modules/finance/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/finance/tests/test_health.py:4
modules/finance/tests/test_permissions.py::test_create_auth_boundary,modules/finance/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/finance/tests/test_permissions.py:6
modules/health/tests/test_contract.py::test_required_contract_documents_exist,modules/health/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/health/tests/test_contract.py:4
modules/health/tests/test_create_flow.py::test_create_and_approve_flow,modules/health/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/health/tests/test_create_flow.py:6
modules/health/tests/test_health.py::test_health,modules/health/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/health/tests/test_health.py:4
modules/health/tests/test_permissions.py::test_create_auth_boundary,modules/health/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/health/tests/test_permissions.py:6
modules/hr/tests/test_contract.py::test_required_contract_documents_exist,modules/hr/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/hr/tests/test_contract.py:4
modules/hr/tests/test_create_flow.py::test_create_and_approve_flow,modules/hr/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/hr/tests/test_create_flow.py:6
modules/hr/tests/test_health.py::test_health,modules/hr/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/hr/tests/test_health.py:4
modules/hr/tests/test_permissions.py::test_create_auth_boundary,modules/hr/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/hr/tests/test_permissions.py:6
modules/identity/tests/test_contract.py::test_required_contract_documents_exist,modules/identity/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/identity/tests/test_contract.py:4
modules/identity/tests/test_create_flow.py::test_create_and_approve_flow,modules/identity/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/identity/tests/test_create_flow.py:6
modules/identity/tests/test_e2e_identity.py::test_identity_e2e_flow,modules/identity/tests/test_e2e_identity.py,test_identity_e2e_flow,12,False,0,0,,,False,,aprovado,2,1,docs/data-audit/artifacts/pytest_identity_e2e_results.xml;docs/data-audit/artifacts/pytest_unit_results.xml,modules/identity/tests/test_e2e_identity.py:12
modules/identity/tests/test_health.py::test_health,modules/identity/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/identity/tests/test_health.py:4
modules/identity/tests/test_permissions.py::test_create_auth_boundary,modules/identity/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/identity/tests/test_permissions.py:6
modules/jobs/tests/test_contract.py::test_required_contract_documents_exist,modules/jobs/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/jobs/tests/test_contract.py:4
modules/jobs/tests/test_create_flow.py::test_create_and_approve_flow,modules/jobs/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/jobs/tests/test_create_flow.py:6
modules/jobs/tests/test_health.py::test_health,modules/jobs/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/jobs/tests/test_health.py:4
modules/jobs/tests/test_permissions.py::test_create_auth_boundary,modules/jobs/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/jobs/tests/test_permissions.py:6
modules/legal/tests/test_contract.py::test_required_contract_documents_exist,modules/legal/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/legal/tests/test_contract.py:4
modules/legal/tests/test_create_flow.py::test_create_and_approve_flow,modules/legal/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/legal/tests/test_create_flow.py:6
modules/legal/tests/test_health.py::test_health,modules/legal/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/legal/tests/test_health.py:4
modules/legal/tests/test_permissions.py::test_create_auth_boundary,modules/legal/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/legal/tests/test_permissions.py:6
modules/marketplace/tests/test_contract.py::test_required_contract_documents_exist,modules/marketplace/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/marketplace/tests/test_contract.py:4
modules/marketplace/tests/test_create_flow.py::test_create_and_approve_flow,modules/marketplace/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/marketplace/tests/test_create_flow.py:6
modules/marketplace/tests/test_health.py::test_health,modules/marketplace/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/marketplace/tests/test_health.py:4
modules/marketplace/tests/test_permissions.py::test_create_auth_boundary,modules/marketplace/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/marketplace/tests/test_permissions.py:6
modules/mobility/tests/test_contract.py::test_required_contract_documents_exist,modules/mobility/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/mobility/tests/test_contract.py:4
modules/mobility/tests/test_create_flow.py::test_create_and_approve_flow,modules/mobility/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/mobility/tests/test_create_flow.py:6
modules/mobility/tests/test_health.py::test_health,modules/mobility/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/mobility/tests/test_health.py:4
modules/mobility/tests/test_permissions.py::test_create_auth_boundary,modules/mobility/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/mobility/tests/test_permissions.py:6
modules/permissions/tests/test_contract.py::test_required_contract_documents_exist,modules/permissions/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/permissions/tests/test_contract.py:4
modules/permissions/tests/test_create_flow.py::test_create_and_approve_flow,modules/permissions/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/permissions/tests/test_create_flow.py:6
modules/permissions/tests/test_health.py::test_health,modules/permissions/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/permissions/tests/test_health.py:4
modules/permissions/tests/test_permissions.py::test_create_auth_boundary,modules/permissions/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/permissions/tests/test_permissions.py:6
modules/property/tests/test_contract.py::test_required_contract_documents_exist,modules/property/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/property/tests/test_contract.py:4
modules/property/tests/test_create_flow.py::test_create_and_approve_flow,modules/property/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/property/tests/test_create_flow.py:6
modules/property/tests/test_health.py::test_health,modules/property/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/property/tests/test_health.py:4
modules/property/tests/test_permissions.py::test_create_auth_boundary,modules/property/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/property/tests/test_permissions.py:6
modules/riders/tests/test_contract.py::test_required_contract_documents_exist,modules/riders/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/riders/tests/test_contract.py:4
