module,entity,required_fields,unique_fields,monetary_fields,initial_status,sensitive,immutable,has_rule_override,has_physical_table,has_ui_surface,evidence
identity,users,full_name;email;password_hash,email;document_cpf,,PENDING_KYC,True,False,True,True,True,modules/shared/domain_rules.py:159
identity,documents,document_type;document_number_hash;storage_key,,,pending_review,True,False,True,True,True,modules/shared/domain_rules.py:179
identity,biometrics,face_hash;consent_recorded_at,,,captured,True,True,True,True,True,modules/shared/domain_rules.py:188
identity,sessions,token_hash;device_fingerprint;ip_address;expires_at,,,active,True,False,True,True,True,modules/shared/domain_rules.py:194
identity,identity_verifications,verification_type,,,PROCESSING,True,False,True,True,False,modules/shared/domain_rules.py:202
identity,consent_records,consent_type;policy_version;accepted_at,,,accepted,True,True,True,True,False,modules/shared/domain_rules.py:211
business,companies,cnpj;root_cnpj;legal_name;legal_representative_user_id,cnpj,,pending_validation,True,False,True,True,True,modules/shared/domain_rules.py:217
business,branches,,,,draft,False,False,False,False,True,modules/shared/domain_rules.py:74
business,company_documents,,,,draft,False,False,False,True,False,modules/shared/domain_rules.py:74
business,user_company_memberships,company_id;role,,,invited,True,False,True,True,False,modules/shared/domain_rules.py:224
business,catalog_offers,title;offer_type;consumer_category;company_type;company_category;business_activity_id;source_module;source_resource_type,,price_brl;price_amount,draft,False,False,True,True,False,modules/shared/domain_rules.py:245
permissions,roles,name,name,,active,False,False,True,True,True,modules/shared/domain_rules.py:261
permissions,permissions,,,,draft,False,False,False,True,True,modules/shared/domain_rules.py:74
permissions,user_roles,,,,draft,False,False,False,True,False,modules/shared/domain_rules.py:74
permissions,access_policies,,,,draft,False,False,False,True,False,modules/shared/domain_rules.py:74
permissions,approval_limits,scope;limit_brl,,limit_brl,active,False,False,True,True,False,modules/shared/domain_rules.py:262
finance,wallets,wallet_type,,,active,True,False,True,True,True,modules/shared/domain_rules.py:265
finance,ledger_entries,wallet_id;currency;idempotency_key,idempotency_key,amount_brl;amount_nex,posted,True,True,True,True,False,modules/shared/domain_rules.py:266
finance,escrows,wallet_id;beneficiary_user_id;amount_brl,,amount_brl,created,True,False,True,True,True,modules/shared/domain_rules.py:281
finance,splits,,,amount_brl,draft,True,False,True,False,True,modules/shared/domain_rules.py:294
finance,invoices,,,amount_brl,draft,True,False,True,False,True,modules/shared/domain_rules.py:295
finance,valley_gold_ledger_entries,merchant_business_id;entry_type;amount_gold_delta;reference_type,idempotency_key,,posted,True,True,True,True,False,modules/shared/domain_rules.py:274
marketplace,stores,company_id;company_status;name,,,pending_validation,False,False,True,True,True,modules/shared/domain_rules.py:296
marketplace,products,store_id;sku;name;price_brl;stock_location_type,sku,price_brl,draft,False,False,True,True,True,modules/shared/domain_rules.py:302
marketplace,carts,,,,draft,False,False,False,False,True,modules/shared/domain_rules.py:74
marketplace,orders,total_brl,,total_brl,created,False,False,True,True,True,modules/shared/domain_rules.py:309
marketplace,reviews,order_id;rating,,,pending_review,False,True,True,True,True,modules/shared/domain_rules.py:320
marketplace,disputes,order_id;case_type;message,,,open,False,False,True,True,True,modules/shared/domain_rules.py:342
marketplace,pepita_grants,order_id;customer_user_id;pepitas;merchant_gold_ledger_id,,,posted,False,True,True,True,False,modules/shared/domain_rules.py:389
stock,suppliers,company_id;company_status,,,pending_validation,False,False,True,True,True,modules/shared/domain_rules.py:352
stock,catalog_products,supplier_id;external_sku;name;list_price_brl,external_sku,list_price_brl,draft,False,False,True,True,False,modules/shared/domain_rules.py:355
stock,price_rules,,,,draft,False,False,False,False,False,modules/shared/domain_rules.py:74
stock,supplier_orders,supplier_id;catalog_product_id;external_order_id,external_order_id,cost_brl,created,False,False,True,False,False,modules/shared/domain_rules.py:361
stock,discount_quotes,catalog_product_id;selected_percent;pepitas_required,,original_price_brl;discount_brl;final_price_brl,quoted,False,True,True,True,False,modules/shared/domain_rules.py:394
delivery,delivery_requests,service_type;origin;destination,,quoted_brl,created,False,False,True,True,False,modules/shared/domain_rules.py:400
delivery,quotes,,,,draft,False,False,False,False,True,modules/shared/domain_rules.py:74
delivery,assignments,,,,draft,False,False,False,False,True,modules/shared/domain_rules.py:74
delivery,proofs,delivery_request_id;file_sha256;storage_key;captured_at,file_sha256,,recorded,True,True,True,False,True,modules/shared/domain_rules.py:412
