module,method,path,field,status,evidence
shared,GET,/events/outbox,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:832
shared,POST,/create,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1330
shared,GET,/list,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1352
shared,POST,/approve,id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1360
shared,POST,/approve,reason,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1360
shared,POST,/reject,id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1374
shared,POST,/reject,reason,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1374
shared,POST,/audit,action,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1388
shared,POST,/audit,resource_type,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1388
shared,POST,/audit,resource_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1388
shared,POST,/audit,payload,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1388
shared,GET,/{resource_id},payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1404
shared,PATCH,/{resource_id},payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1413
shared,DELETE,/{resource_id},payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1432
shared,POST,/registrations,full_name,campo de modelo Pydantic comprovado,modules/shared/runtime.py:617
shared,POST,/registrations,email,campo de modelo Pydantic comprovado,modules/shared/runtime.py:617
shared,POST,/registrations,password_hash,campo de modelo Pydantic comprovado,modules/shared/runtime.py:617
shared,POST,/registrations,document_cpf,campo de modelo Pydantic comprovado,modules/shared/runtime.py:617
shared,POST,/registrations,cpf_document,campo de modelo Pydantic comprovado,modules/shared/runtime.py:617
shared,POST,/registrations,terms_accepted_at,campo de modelo Pydantic comprovado,modules/shared/runtime.py:617
shared,POST,/registrations,lgpd_consent_at,campo de modelo Pydantic comprovado,modules/shared/runtime.py:617
shared,POST,/integrations/sandbox/kyc/person,user_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:840
shared,POST,/integrations/sandbox/kyc/person,document,campo de modelo Pydantic comprovado,modules/shared/runtime.py:840
shared,POST,/integrations/sandbox/kyc/person,full_name,campo de modelo Pydantic comprovado,modules/shared/runtime.py:840
shared,POST,/integrations/sandbox/kyc/person,selfie_hash,campo de modelo Pydantic comprovado,modules/shared/runtime.py:840
shared,POST,/integrations/sandbox/kyb/business,company_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:857
shared,POST,/integrations/sandbox/kyb/business,cnpj,campo de modelo Pydantic comprovado,modules/shared/runtime.py:857
shared,POST,/integrations/sandbox/kyb/business,legal_name,campo de modelo Pydantic comprovado,modules/shared/runtime.py:857
shared,POST,/integrations/sandbox/psp/pix/authorize,payment_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:873
shared,POST,/integrations/sandbox/psp/pix/authorize,payer_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:873
shared,POST,/integrations/sandbox/psp/pix/authorize,amount_brl,campo de modelo Pydantic comprovado,modules/shared/runtime.py:873
shared,POST,/integrations/sandbox/psp/pix/authorize,idempotency_key,campo de modelo Pydantic comprovado,modules/shared/runtime.py:873
shared,POST,/integrations/sandbox/psp/escrows,escrow_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:888
shared,POST,/integrations/sandbox/psp/escrows,payer_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:888
shared,POST,/integrations/sandbox/psp/escrows,beneficiary_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:888
shared,POST,/integrations/sandbox/psp/escrows,amount_brl,campo de modelo Pydantic comprovado,modules/shared/runtime.py:888
shared,POST,/integrations/sandbox/psp/escrows/release,escrow_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:903
shared,POST,/integrations/sandbox/psp/escrows/release,amount_brl,campo de modelo Pydantic comprovado,modules/shared/runtime.py:903
shared,POST,/integrations/sandbox/fiscal/invoices,invoice_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:915
shared,POST,/integrations/sandbox/fiscal/invoices,document_type,campo de modelo Pydantic comprovado,modules/shared/runtime.py:915
shared,POST,/integrations/sandbox/fiscal/invoices,amount_brl,campo de modelo Pydantic comprovado,modules/shared/runtime.py:915
shared,POST,/integrations/sandbox/fiscal/invoices,issuer_document,campo de modelo Pydantic comprovado,modules/shared/runtime.py:915
shared,POST,/integrations/sandbox/ctps/classify,resume_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:932
shared,POST,/integrations/sandbox/ctps/classify,pdf_text,campo de modelo Pydantic comprovado,modules/shared/runtime.py:932
shared,POST,/integrations/sandbox/maps/route,route_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:946
shared,POST,/integrations/sandbox/maps/route,origin,campo de modelo Pydantic comprovado,modules/shared/runtime.py:946
shared,POST,/integrations/sandbox/maps/route,destination,campo de modelo Pydantic comprovado,modules/shared/runtime.py:946
shared,POST,/integrations/sandbox/maps/route,vehicle_type,campo de modelo Pydantic comprovado,modules/shared/runtime.py:946
shared,POST,/integrations/sandbox/health/consents,patient_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:963
shared,POST,/integrations/sandbox/health/consents,professional_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:963
shared,POST,/integrations/sandbox/health/consents,purpose,campo de modelo Pydantic comprovado,modules/shared/runtime.py:963
shared,POST,/integrations/sandbox/health/consents,ttl_days,campo de modelo Pydantic comprovado,modules/shared/runtime.py:963
shared,POST,/integrations/sandbox/api-hub/webhooks/sign,webhook_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:980
shared,POST,/integrations/sandbox/api-hub/webhooks/sign,payload,campo de modelo Pydantic comprovado,modules/shared/runtime.py:980
shared,POST,/integrations/sandbox/api-hub/webhooks/sign,secret,campo de modelo Pydantic comprovado,modules/shared/runtime.py:980
shared,POST,/integrations/sandbox/api-hub/api-key/verify,api_key,campo de modelo Pydantic comprovado,modules/shared/runtime.py:990
shared,POST,/integrations/sandbox/api-hub/api-key/verify,allowed_hashes,campo de modelo Pydantic comprovado,modules/shared/runtime.py:990
shared,POST,/integrations/sandbox/suppliers/products,supplier_id,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1002
shared,POST,/integrations/sandbox/suppliers/products,external_sku,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1002
shared,POST,/integrations/sandbox/suppliers/products,cost_brl,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1002
shared,POST,/integrations/sandbox/suppliers/products,available_quantity,campo de modelo Pydantic comprovado,modules/shared/runtime.py:1002
shared,POST,/pricing/quote,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1019
shared,POST,/pricing/fare,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1027
shared,POST,/pricing/commission,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1035
shared,POST,/resumes/{resume_id}/imports/ctps-digital,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1110
shared,GET,/resumes/{resume_id}/documents/{document_id}/content,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1181
shared,GET,/resumes/{resume_id}/complete,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1227
shared,GET,/vacancies,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1239
shared,GET,/recruiting/resumes,payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1258
shared,GET,/recruiting/resumes/{resume_id},payload sem modelo local comprovado,lacuna,modules/shared/runtime.py:1292
shared,GET,/valley/catalog/modules,payload sem modelo local comprovado,lacuna,modules/shared/valley.py:170
