app,module,entity,surface,title,route,field,binding,evidence
all-in-one,api_hub,webhooks,form,Webhooks,/api_hub/webhooks-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/WebhooksForm.tsx:6
all-in-one,api_hub,webhooks,form,Webhooks,/api_hub/webhooks-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/WebhooksForm.tsx:6
all-in-one,api_hub,webhooks,form,Webhooks,/api_hub/webhooks-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/WebhooksForm.tsx:6
all-in-one,api_hub,webhooks,list,Webhooks,/api_hub/webhooks,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/WebhooksList.tsx:6
all-in-one,api_hub,webhooks,list,Webhooks,/api_hub/webhooks,title,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/WebhooksList.tsx:6
all-in-one,api_hub,webhooks,list,Webhooks,/api_hub/webhooks,status,campo físico provável,apps/all-in-one/src/pages/api_hub/WebhooksList.tsx:6
all-in-one,api_hub,webhooks,list,Webhooks,/api_hub/webhooks,created_at,campo físico provável,apps/all-in-one/src/pages/api_hub/WebhooksList.tsx:6
all-in-one,bi,bi,list,Bi,/bi/bi,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/BiOverview.tsx:6
all-in-one,bi,bi,list,Bi,/bi/bi,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/BiOverview.tsx:6
all-in-one,bi,bi,list,Bi,/bi/bi,status,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/BiOverview.tsx:6
all-in-one,bi,bi,list,Bi,/bi/bi,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/BiOverview.tsx:6
all-in-one,bi,bipermissions,list,Bi Permissões,/bi/bipermissions,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/BiPermissions.tsx:6
all-in-one,bi,bipermissions,list,Bi Permissões,/bi/bipermissions,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/BiPermissions.tsx:6
all-in-one,bi,bipermissions,list,Bi Permissões,/bi/bipermissions,status,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/BiPermissions.tsx:6
all-in-one,bi,bipermissions,list,Bi Permissões,/bi/bipermissions,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/BiPermissions.tsx:6
all-in-one,bi,dashboards,form,Dashboards,/bi/dashboards-form,name,campo físico provável,apps/all-in-one/src/pages/bi/DashboardsForm.tsx:6
all-in-one,bi,dashboards,form,Dashboards,/bi/dashboards-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/DashboardsForm.tsx:6
all-in-one,bi,dashboards,form,Dashboards,/bi/dashboards-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/DashboardsForm.tsx:6
all-in-one,bi,dashboards,list,Dashboards,/bi/dashboards,name,campo físico provável,apps/all-in-one/src/pages/bi/DashboardsList.tsx:6
all-in-one,bi,dashboards,list,Dashboards,/bi/dashboards,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/DashboardsList.tsx:6
all-in-one,bi,dashboards,list,Dashboards,/bi/dashboards,status,campo físico provável,apps/all-in-one/src/pages/bi/DashboardsList.tsx:6
all-in-one,bi,dashboards,list,Dashboards,/bi/dashboards,created_at,campo físico provável,apps/all-in-one/src/pages/bi/DashboardsList.tsx:6
all-in-one,bi,datasets,form,Datasets,/bi/datasets-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/DatasetsForm.tsx:6
all-in-one,bi,datasets,form,Datasets,/bi/datasets-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/DatasetsForm.tsx:6
all-in-one,bi,datasets,form,Datasets,/bi/datasets-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/DatasetsForm.tsx:6
all-in-one,bi,datasets,list,Datasets,/bi/datasets,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/DatasetsList.tsx:6
all-in-one,bi,datasets,list,Datasets,/bi/datasets,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/DatasetsList.tsx:6
all-in-one,bi,datasets,list,Datasets,/bi/datasets,status,campo físico provável,apps/all-in-one/src/pages/bi/DatasetsList.tsx:6
all-in-one,bi,datasets,list,Datasets,/bi/datasets,created_at,campo físico provável,apps/all-in-one/src/pages/bi/DatasetsList.tsx:6
all-in-one,bi,exports,form,Exports,/bi/exports-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/ExportsForm.tsx:6
all-in-one,bi,exports,form,Exports,/bi/exports-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/ExportsForm.tsx:6
all-in-one,bi,exports,form,Exports,/bi/exports-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/ExportsForm.tsx:6
all-in-one,bi,exports,list,Exports,/bi/exports,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/ExportsList.tsx:6
all-in-one,bi,exports,list,Exports,/bi/exports,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/ExportsList.tsx:6
all-in-one,bi,exports,list,Exports,/bi/exports,status,campo físico provável,apps/all-in-one/src/pages/bi/ExportsList.tsx:6
all-in-one,bi,exports,list,Exports,/bi/exports,created_at,campo físico provável,apps/all-in-one/src/pages/bi/ExportsList.tsx:6
all-in-one,bi,indicators,form,Indicators,/bi/indicators-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/IndicatorsForm.tsx:6
all-in-one,bi,indicators,form,Indicators,/bi/indicators-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/IndicatorsForm.tsx:6
all-in-one,bi,indicators,form,Indicators,/bi/indicators-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/IndicatorsForm.tsx:6
all-in-one,bi,indicators,list,Indicators,/bi/indicators,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/IndicatorsList.tsx:6
all-in-one,bi,indicators,list,Indicators,/bi/indicators,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bi/IndicatorsList.tsx:6
all-in-one,bi,indicators,list,Indicators,/bi/indicators,status,campo físico provável,apps/all-in-one/src/pages/bi/IndicatorsList.tsx:6
all-in-one,bi,indicators,list,Indicators,/bi/indicators,created_at,campo físico provável,apps/all-in-one/src/pages/bi/IndicatorsList.tsx:6
all-in-one,bpm,bpm,list,Bpm,/bpm/bpm,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/BpmOverview.tsx:6
all-in-one,bpm,bpm,list,Bpm,/bpm/bpm,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/BpmOverview.tsx:6
all-in-one,bpm,bpm,list,Bpm,/bpm/bpm,status,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/BpmOverview.tsx:6
all-in-one,bpm,bpm,list,Bpm,/bpm/bpm,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/BpmOverview.tsx:6
all-in-one,bpm,bpmpermissions,list,Bpm Permissões,/bpm/bpmpermissions,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/BpmPermissions.tsx:6
all-in-one,bpm,bpmpermissions,list,Bpm Permissões,/bpm/bpmpermissions,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/BpmPermissions.tsx:6
all-in-one,bpm,bpmpermissions,list,Bpm Permissões,/bpm/bpmpermissions,status,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/BpmPermissions.tsx:6
all-in-one,bpm,bpmpermissions,list,Bpm Permissões,/bpm/bpmpermissions,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/BpmPermissions.tsx:6
all-in-one,bpm,processes,form,Processes,/bpm/processes-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/ProcessesForm.tsx:6
all-in-one,bpm,processes,form,Processes,/bpm/processes-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/ProcessesForm.tsx:6
all-in-one,bpm,processes,form,Processes,/bpm/processes-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/ProcessesForm.tsx:6
all-in-one,bpm,processes,list,Processes,/bpm/processes,name,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/ProcessesList.tsx:6
all-in-one,bpm,processes,list,Processes,/bpm/processes,title,payload genérico/não comprovado,apps/all-in-one/src/pages/bpm/ProcessesList.tsx:6
all-in-one,bpm,processes,list,Processes,/bpm/processes,status,campo físico provável,apps/all-in-one/src/pages/bpm/ProcessesList.tsx:6
